cell_id,image_id,crop_path,bf_path,phase_path,fluor_path,mask_id,center_x,center_y,bbox_x1,bbox_y1,bbox_x2,bbox_y2,area,perimeter,eccentricity,solidity,mean_intensity,phase_mean,label
cell_00000,img_000,F:\method_2\cell_inspector\sample_data\crops\cell_00000.png,F:\method_2\cell_inspector\sample_data\brightfield\img_000.png,F:\method_2\cell_inspector\sample_data\phase\img_000.png,F:\method_2\cell_inspector\sample_data\fluorescence\img_000.png,mask_0,80,60,68,48,92,72,441,75.39822368615503,0.15,0.92,98.52380952380952,95.49886621315193,-1
cell_00001,img_000,F:\method_2\cell_inspector\sample_data\crops\cell_00001.png,F:\method_2\cell_inspector\sample_data\brightfield\img_000.png,F:\method_2\cell_inspector\sample_data\phase\img_000.png,F:\method_2\cell_inspector\sample_data\fluorescence\img_000.png,mask_1,117,113,103,99,131,127,613,87.96459430051421,0.15,0.92,99.34910277324633,94.56769983686786,-1
cell_00002,img_000,F:\method_2\cell_inspector\sample_data\crops\cell_00002.png,F:\method_2\cell_inspector\sample_data\brightfield\img_000.png,F:\method_2\cell_inspector\sample_data\phase\img_000.png,F:\method_2\cell_inspector\sample_data\fluorescence\img_000.png,mask_2,154,166,138,150,170,182,797,100.53096491487338,0.15,0.92,98.5069008782936,94.86072772898369,-1
cell_00003,img_000,F:\method_2\cell_inspector\sample_data\crops\cell_00003.png,F:\method_2\cell_inspector\sample_data\brightfield\img_000.png,F:\method_2\cell_inspector\sample_data\phase\img_000.png,F:\method_2\cell_inspector\sample_data\fluorescence\img_000.png,mask_3,191,219,173,201,209,237,1009,113.09733552923255,0.15,0.92,98.47175421209118,94.65014866204163,-1
cell_00004,img_000,F:\method_2\cell_inspector\sample_data\crops\cell_00004.png,F:\method_2\cell_inspector\sample_data\brightfield\img_000.png,F:\method_2\cell_inspector\sample_data\phase\img_000.png,F:\method_2\cell_inspector\sample_data\fluorescence\img_000.png,mask_4,228,272,208,252,248,292,1257,125.66370614359172,0.15,0.92,100.01352426412092,94.6642800318218,-1
cell_00005,img_001,F:\method_2\cell_inspector\sample_data\crops\cell_00005.png,F:\method_2\cell_inspector\sample_data\brightfield\img_001.png,F:\method_2\cell_inspector\sample_data\phase\img_001.png,F:\method_2\cell_inspector\sample_data\fluorescence\img_001.png,mask_5,265,325,253,313,277,337,441,75.39822368615503,0.15,0.92,100.11111111111111,94.86848072562358,-1
cell_00006,img_001,F:\method_2\cell_inspector\sample_data\crops\cell_00006.png,F:\method_2\cell_inspector\sample_data\brightfield\img_001.png,F:\method_2\cell_inspector\sample_data\phase\img_001.png,F:\method_2\cell_inspector\sample_data\fluorescence\img_001.png,mask_6,302,378,288,364,316,392,613,87.96459430051421,0.15,0.92,99.0326264274062,95.08809135399673,-1
cell_00007,img_001,F:\method_2\cell_inspector\sample_data\crops\cell_00007.png,F:\method_2\cell_inspector\sample_data\brightfield\img_001.png,F:\method_2\cell_inspector\sample_data\phase\img_001.png,F:\method_2\cell_inspector\sample_data\fluorescence\img_001.png,mask_7,339,431,323,415,355,447,797,100.53096491487338,0.15,0.92,99.45671267252196,93.3651191969887,-1
cell_00008,img_001,F:\method_2\cell_inspector\sample_data\crops\cell_00008.png,F:\method_2\cell_inspector\sample_data\brightfield\img_001.png,F:\method_2\cell_inspector\sample_data\phase\img_001.png,F:\method_2\cell_inspector\sample_data\fluorescence\img_001.png,mask_8,376,92,358,74,394,110,1009,113.09733552923255,0.15,0.92,100.13181367690783,94.54608523290386,-1
cell_00009,img_001,F:\method_2\cell_inspector\sample_data\crops\cell_00009.png,F:\method_2\cell_inspector\sample_data\brightfield\img_001.png,F:\method_2\cell_inspector\sample_data\phase\img_001.png,F:\method_2\cell_inspector\sample_data\fluorescence\img_001.png,mask_9,413,145,393,125,433,165,1257,125.66370614359172,0.15,0.92,99.13922036595068,93.10023866348449,-1
